2023-3-21 11:48:10, Temperature = 21.24 C, Pressure = 841.68 hPa, Approx. Altitude = 1537.72 m, Humidity = 21.25 %
2023-3-21 11:48:29, Temperature = 21.42 C, Pressure = 841.70 hPa, Approx. Altitude = 1537.57 m, Humidity = 21.17 %
2023-3-21 11:48:59, Temperature = 21.44 C, Pressure = 841.72 hPa, Approx. Altitude = 1537.31 m, Humidity = 21.16 %
2023-3-21 11:49:29, Temperature = 21.45 C, Pressure = 841.72 hPa, Approx. Altitude = 1537.30 m, Humidity = 21.16 %
2023-3-21 11:49:59, Temperature = 21.46 C, Pressure = 841.73 hPa, Approx. Altitude = 1537.29 m, Humidity = 21.13 %
2023-3-21 11:50:29, Temperature = 21.45 C, Pressure = 841.73 hPa, Approx. Altitude = 1537.26 m, Humidity = 21.13 %
2023-3-21 11:51:0, Temperature = 21.45 C, Pressure = 841.74 hPa, Approx. Altitude = 1537.14 m, Humidity = 21.12 %
2023-3-21 11:51:30, Temperature = 21.43 C, Pressure = 841.74 hPa, Approx. Altitude = 1537.32 m, Humidity = 21.10 %
2023-3-21 11:52:0, Temperature = 21.42 C, Pressure = 841.74 hPa, Approx. Altitude = 1537.18 m, Humidity = 21.08 %
2023-3-21 11:52:30, Temperature = 21.41 C, Pressure = 841.69 hPa, Approx. Altitude = 1537.63 m, Humidity = 21.09 %
2023-3-21 11:53:0, Temperature = 21.42 C, Pressure = 841.74 hPa, Approx. Altitude = 1537.11 m, Humidity = 21.13 %
2023-3-21 11:53:30, Temperature = 21.43 C, Pressure = 841.76 hPa, Approx. Altitude = 1536.97 m, Humidity = 21.12 %
2023-3-21 11:54:0, Temperature = 21.47 C, Pressure = 841.76 hPa, Approx. Altitude = 1536.91 m, Humidity = 21.06 %
2023-3-21 11:54:30, Temperature = 21.46 C, Pressure = 841.76 hPa, Approx. Altitude = 1536.97 m, Humidity = 21.04 %
2023-3-21 11:55:0, Temperature = 21.44 C, Pressure = 841.78 hPa, Approx. Altitude = 1536.73 m, Humidity = 20.99 %
2023-3-21 11:55:30, Temperature = 21.43 C, Pressure = 841.79 hPa, Approx. Altitude = 1536.64 m, Humidity = 20.96 %
2023-3-21 11:56:1, Temperature = 21.44 C, Pressure = 841.78 hPa, Approx. Altitude = 1536.73 m, Humidity = 20.99 %
2023-3-21 11:56:31, Temperature = 21.44 C, Pressure = 841.78 hPa, Approx. Altitude = 1536.81 m, Humidity = 20.96 %
2023-3-21 11:57:1, Temperature = 21.45 C, Pressure = 841.79 hPa, Approx. Altitude = 1536.68 m, Humidity = 20.94 %
2023-3-21 11:57:31, Temperature = 21.44 C, Pressure = 841.79 hPa, Approx. Altitude = 1536.65 m, Humidity = 20.95 %
2023-3-21 11:58:1, Temperature = 21.43 C, Pressure = 841.77 hPa, Approx. Altitude = 1536.87 m, Humidity = 20.98 %
2023-3-21 11:58:31, Temperature = 21.40 C, Pressure = 841.78 hPa, Approx. Altitude = 1536.72 m, Humidity = 21.00 %
2023-3-21 11:59:1, Temperature = 21.41 C, Pressure = 841.83 hPa, Approx. Altitude = 1536.27 m, Humidity = 20.93 %
2023-3-21 11:59:31, Temperature = 21.43 C, Pressure = 841.82 hPa, Approx. Altitude = 1536.42 m, Humidity = 20.98 %
2023-3-21 12:0:1, Temperature = 21.42 C, Pressure = 841.84 hPa, Approx. Altitude = 1536.18 m, Humidity = 20.98 %
2023-3-21 12:0:32, Temperature = 21.44 C, Pressure = 841.81 hPa, Approx. Altitude = 1536.45 m, Humidity = 20.96 %
